Pos,StartNr,Cat,Naam,Team,Swim,#Sw,Chg1,AftChg1,Bike,#Bk,AftBk,#AftBk,Chg2,AftChg2,Run,#Run,Total,Divisie
32,660,1DM,Juul van de Kruijs,TV Weert,00:12:01,62,00:00:43,00:12:43,00:37:14,22,00:49:56,43,00:01:06,00:51:02,00:21:47,21,01:12:49,1e divisie
33,640,1DM,Rob Woestenenk,Cerberus 2 – Nijmegen,00:11:09,40,00:00:48,00:11:57,00:37:24,26,00:49:20,35,00:00:53,00:50:13,00:22:41,30,01:12:53,1e divisie
34,654,1DM,Martijn Schutteman,Argo – Wierden,00:11:00,36,00:00:46,00:11:45,00:37:35,37,00:49:20,34,00:00:44,00:50:03,00:22:55,36,01:12:58,1e divisie
35,636,1DM,Thijs Hagelstein,Innovative Group / VZC – Veenendaal,00:09:45,8,00:01:06,00:10:50,00:38:32,53,00:49:22,38,00:00:54,00:50:15,00:22:50,33,01:13:04,1e divisie
36,637,1DM,Roelof Lovink,Cerberus 2 – Nijmegen,00:11:23,44,00:00:45,00:12:08,00:37:09,19,00:49:17,31,00:00:43,00:49:59,00:23:10,42,01:13:09,1e divisie
37,629,1DM,Eric Wattez,AV Impala – Drachten,00:10:39,23,00:00:51,00:11:30,00:37:54,48,00:49:23,41,00:00:49,00:50:11,00:23:16,43,01:13:27,1e divisie
38,646,1DM,Jordi Fuhler,De Boks – Klazienaveen,00:11:38,53,00:00:49,00:12:27,00:37:34,35,00:50:01,48,00:00:55,00:50:55,00:22:35,27,01:13:29,1e divisie
39,647,1DM,Sidney Lubbinge,De Boks – Klazienaveen,00:11:02,37,00:00:46,00:11:47,00:37:29,30,00:49:16,30,00:00:46,00:50:02,00:23:33,47,01:13:34,1e divisie
40,613,1DM,Remko Siers,TC Twente 2 – Enschede,00:09:55,13,00:00:47,00:10:41,00:37:39,40,00:48:20,20,00:00:52,00:49:11,00:24:25,57,01:13:36,1e divisie
41,653,1DM,Maarten Mollink,Argo – Wierden,00:11:34,50,00:00:51,00:12:24,00:36:53,10,00:49:17,32,00:00:50,00:50:06,00:23:33,48,01:13:38,1e divisie
42,638,1DM,Alexander Vandevelde,Cerberus 2 – Nijmegen,00:10:57,34,00:00:50,00:11:46,00:37:35,36,00:49:20,36,00:00:45,00:50:05,00:23:38,50,01:13:42,1e divisie
43,621,1DM,Sven Bams,EDO Sports 2 – Maastricht,00:09:31,3,00:00:44,00:10:15,00:37:42,42,00:47:57,6,00:00:48,00:48:44,00:25:04,63,01:13:47,1e divisie
44,649,1DM,Hinke van Wezep,Sanders Puzzelboeken / Aquapoldro – Apel,00:11:38,52,00:00:52,00:12:30,00:37:29,31,00:49:58,46,00:01:07,00:51:04,00:22:45,32,01:13:49,1e divisie
45,634,1DM,Rob Barel,Innovative Group / VZC – Veenendaal,00:10:34,17,00:00:55,00:11:29,00:37:46,46,00:49:14,26,00:00:43,00:49:57,00:23:54,53,01:13:50,1e divisie
46,651,1DM,Jeroen Hagen,Sanders Puzzelboeken / Aquapoldro – Apel,00:11:44,56,00:00:47,00:12:30,00:37:27,29,00:49:57,44,00:00:56,00:50:52,00:23:04,40,01:13:56,1e divisie
47,656,1DM,Rutger op den Dries,Argo – Wierden,00:12:19,67,00:00:45,00:13:04,00:38:52,55,00:51:56,61,00:00:44,00:52:40,00:21:38,16,01:14:18,1e divisie
48,665,1DM,Bram van der Wal,Triade – Zwolle,00:11:21,41,00:00:47,00:12:07,00:37:14,23,00:49:21,37,00:00:52,00:50:12,00:24:11,54,01:14:22,1e divisie
49,671,1DM,Toine Hulshof,Triathlon Soest,00:11:43,55,00:00:53,00:12:36,00:37:26,28,00:50:01,49,00:00:55,00:50:55,00:23:30,46,01:14:24,1e divisie
50,668,1DM,Dirk-Jan de Jong,Metaglas / TZC Vahalis – Tiel,00:10:50,30,00:00:51,00:11:41,00:37:42,41,00:49:22,39,00:00:52,00:50:13,00:24:15,56,01:14:28,1e divisie
51,618,1DM,Erik Brandsma,De Dolfijn 2 – Amsterdam,00:10:37,20,00:00:44,00:11:21,00:37:58,50,00:49:19,33,00:00:47,00:50:06,00:24:26,58,01:14:31,1e divisie
52,619,1DM,Gert Brinkman,De Dolfijn 2 – Amsterdam,00:11:55,59,00:00:44,00:12:39,00:39:19,59,00:51:57,62,00:00:53,00:52:50,00:21:59,22,01:14:49,1e divisie
53,642,1DM,Paul Schermers,TTB – Bodegraven,00:11:28,48,00:00:58,00:12:26,00:38:05,51,00:50:31,54,00:00:55,00:51:25,00:23:34,49,01:14:59,1e divisie
54,612,1DM,Arie Nimberg,Hellas 2 – Utrecht,00:11:59,60,00:00:43,00:12:41,00:37:20,25,00:50:01,50,00:00:57,00:50:58,00:24:14,55,01:15:11,1e divisie
55,635,1DM,Erik Wolsing,Innovative Group / VZC – Veenendaal,00:09:36,6,00:00:46,00:10:22,00:39:38,62,00:49:59,47,00:00:55,00:50:54,00:24:36,60,01:15:30,1e divisie
56,606,1DM,Jelmer de Wolde,TVA – Almere,00:11:51,58,00:00:50,00:12:40,00:39:19,58,00:51:58,63,00:00:54,00:52:52,00:22:42,31,01:15:33,1e divisie
57,639,1DM,Lars Verlaan,Cerberus 2 – Nijmegen,,0,,,,0,,0,,,,0,01:15:55,1e divisie
58,632,1DM,Lammert van der Veen,AV Impala – Drachten,00:10:44,26,00:00:48,00:11:32,00:38:30,52,00:50:01,51,00:00:56,00:50:57,00:25:01,61,01:15:57,1e divisie
59,672,1DM,Gerrit Heusinkveld,Triathlon Soest,00:11:24,45,00:00:54,00:12:17,00:39:30,60,00:51:46,59,00:00:51,00:52:37,00:23:30,45,01:16:06,1e divisie
60,607,1DM,Marten Visser,TVA – Almere,00:12:05,64,00:00:53,00:12:57,00:38:57,56,00:51:54,60,00:00:54,00:52:48,00:23:27,44,01:16:15,1e divisie
61,650,1DM,Wilbert Pannekoek,Sanders Puzzelboeken / Aquapoldro – Apel,00:12:18,66,00:00:48,00:13:06,00:40:03,64,00:53:09,65,00:00:52,00:54:00,00:22:55,38,01:16:55,1e divisie
62,652,1DM,Ralph van Dijk,Sanders Puzzelboeken / Aquapoldro – Apel,00:11:32,49,00:00:50,00:12:22,00:39:16,57,00:51:38,56,00:00:59,00:52:36,00:24:29,59,01:17:04,1e divisie
63,661,1DM,Peter van Grootheest,TV Weert,00:10:47,28,00:00:58,00:11:44,00:38:49,54,00:50:33,55,00:01:03,00:51:35,00:25:43,65,01:17:17,1e divisie
64,641,1DM,Ron Noordergraaf,TTB – Bodegraven,00:11:21,43,00:00:51,00:12:12,00:39:31,61,00:51:42,58,00:00:49,00:52:31,00:25:02,62,01:17:32,1e divisie
65,608,1DM,Stefan Staartjes,TVA – Almere,00:10:59,35,00:00:56,00:11:54,00:39:47,63,00:51:40,57,00:00:53,00:52:33,00:25:19,64,01:17:51,1e divisie
66,648,1DM,Theo Fuhler,De Boks – Klazienaveen,00:14:24,68,00:00:50,00:15:14,00:40:34,67,00:55:47,67,00:00:59,00:56:46,00:22:54,35,01:19:39,1e divisie
67,657,1DM,Joris Timmermans,Argo – Wierden,00:12:00,61,00:00:46,00:12:45,00:40:26,66,00:53:11,66,00:00:51,00:54:02,00:26:13,66,01:20:15,1e divisie
68,605,1DM,Erik Baalbergen,TVA – Almere,00:11:06,39,00:00:45,00:11:51,00:40:15,65,00:52:05,64,00:01:07,00:53:12,00:31:06,67,01:24:18,1e divisie
