Pos,StartNr,Naam,Team,1_Swim,1_T1,1_Bike,1_T2,1_Run,Mix1,2_Run,2_T1,2_Bike,2_T2,2_Swim,Mix2,3_Bike,3_T1,3_Swim,3_T2,3_Run,Mix3,Totaal,Divisie
43,30,Jasper van Olst,AV Impala - Drachten,02:51,01:04,07:14,55.1,06:13,18:15,06:24,52.3,07:37,46.4,03:09,18:48,08:45,47.5,03:14,01:28,06:22,20:34,01:17:42,1e divisie
44,49,Jeroen Hagen,Sanders Puzzelboeken / Aquapoldro - Apeldoorn,03:08,57.9,07:14,46.2,06:13,18:19,06:18,54.7,07:35,45.9,03:08,18:40,08:46,43,03:13,01:25,06:33,20:39,01:17:44,1e divisie
45,20,Coen Boellaard,De Dolfijn 2 - Amsterdam,02:49,01:06,07:35,57.2,06:29,18:55,06:19,47.2,07:42,46.1,02:59,18:33,08:29,41,03:10,01:25,06:31,20:14,01:17:46,1e divisie
46,68,Tom de Visser,Metaglas / TZC Vahalis - Tiel,03:06,57,07:19,52.2,06:27,18:41,06:36,56.9,07:30,47.1,03:03,18:52,08:26,45.1,03:06,01:33,06:26,20:15,01:17:51,1e divisie
47,56,Martijn Schutteman,Argo - Wierden,03:04,56.5,07:22,53.2,06:35,18:50,06:28,55.1,07:34,48.5,03:06,18:51,08:21,48.2,03:08,01:29,06:29,20:15,01:17:58,1e divisie
48,31,Menno Iedema,AV Impala - Drachten,02:42,57.3,07:28,48.4,06:37,18:32,06:43,48.5,07:41,46.6,03:01,18:59,08:30,42.8,03:09,01:31,06:36,20:26,01:18:00,1e divisie
49,47,Sidney Lubbinge,De Boks - Klazienaveen,02:59,59.1,07:23,47.6,06:35,18:42,06:38,55.2,07:32,46,03:03,18:53,08:26,41.3,03:11,01:24,07:03,20:43,01:18:21,1e divisie
50,37,Lars Verlaan,Cerberus 2 - Nijmegen,03:03,57.7,07:08,45.8,06:51,18:45,06:43,48.9,07:28,42.2,03:00,18:41,08:33,41.4,03:09,01:34,07:08,21:03,01:18:32,1e divisie
51,38,Wout Hendriks,Cerberus 2 - Nijmegen,03:23,52.8,07:45,48.1,06:29,19:17,06:11,50.6,07:28,50.6,03:27,18:46,08:40,43.3,03:30,01:25,06:22,20:39,01:18:44,1e divisie
52,51,Hinke van Wezep,Sanders Puzzelboeken / Aquapoldro - Apeldoorn,03:17,56.9,07:17,58.3,06:20,18:48,06:26,57.8,07:34,48.4,03:11,18:56,08:45,48.9,03:21,01:32,06:33,20:58,01:18:46,1e divisie
53,53,Rutger op den Dries,Argo - Wierden,03:07,01:00,07:57,54.9,06:16,19:14,06:07,52.3,08:11,50.7,03:09,19:08,09:15,55.8,03:10,01:17,05:48,20:25,01:18:49,1e divisie
54,52,Wilbert Pannekoek,Sanders Puzzelboeken / Aquapoldro - Apeldoorn,03:19,54.6,07:45,50.6,06:15,19:04,06:10,56.3,07:37,48.6,03:24,18:54,08:44,49.3,03:33,01:24,06:24,20:53,01:18:55,1e divisie
55,5,Neville Nieman,TVA - Almere,03:11,53.8,07:43,55.6,06:15,18:57,06:10,54.2,07:45,51.2,03:11,18:50,09:35,46.1,03:19,01:24,06:07,21:10,01:19:00,1e divisie
56,71,Toine Hulshof,Triathlon Soest,02:56,01:12,07:22,44.4,06:40,18:54,06:31,48.2,07:30,55.1,03:20,19:04,08:42,44.6,03:19,01:34,06:49,21:06,01:19:08,1e divisie
57,40,Rob Woestenenk,Cerberus 2 - Nijmegen,03:15,30,07:47,52.5,06:34,18:58,06:34,52.6,07:57,01:01,03:02,19:24,08:57,44.8,03:14,01:28,06:30,20:53,01:19:19,1e divisie
58,29,Rudi Bissels,AV Impala - Drachten,03:03,01:09,07:18,47.4,06:42,18:57,06:17,49.5,07:38,45.3,03:28,18:57,08:33,44.9,03:40,01:48,06:52,21:36,01:19:35,1e divisie
59,11,Rens van Eijk,Hellas 2 - Utrecht,02:50,57.4,07:34,54.3,07:19,19:34,06:49,01:04,07:57,53.1,02:43,19:24,09:01,49.9,02:45,01:22,06:39,20:35,01:19:37,1e divisie
60,33,Ronald Prins,Innovative Group / VZC - Veenendaal,02:58,01:05,08:01,54.4,07:02,19:58,06:19,49,08:04,43.5,03:03,18:58,09:03,46,03:01,01:22,06:40,20:51,01:19:51,1e divisie
61,55,Dennis Samar,Argo - Wierden,03:12,53.5,07:56,48.9,06:57,19:47,06:36,52.5,07:54,45.5,03:18,19:25,08:45,45.9,03:13,01:20,06:45,20:48,01:20:03,1e divisie
62,48,Jeroen de Vries,De Boks - Klazienaveen,03:09,01:05,07:50,50.7,06:31,19:24,06:27,54.8,08:25,45.2,03:14,19:45,08:49,46.5,03:13,01:32,06:45,21:04,01:20:17,1e divisie
63,41,Ron Noordergraaf,TTB - Bodegraven,02:51,01:08,07:31,51.8,06:59,19:20,06:58,56.9,07:55,50.2,03:10,19:49,08:49,47.8,03:10,01:33,06:55,21:13,01:20:25,1e divisie
64,17,Erik Brandsma,De Dolfijn 2 - Amsterdam,02:39,56.2,08:26,50.7,07:26,20:18,06:37,49.4,08:29,39.6,02:53,19:27,08:49,40.3,02:57,01:23,07:00,20:47,01:20:35,1e divisie
65,34,Jan Bos,Innovative Group / VZC - Veenendaal,02:53,01:04,07:28,50.7,06:49,19:03,07:02,54.4,08:13,45,03:05,19:58,08:59,44.4,03:07,01:29,07:16,21:34,01:20:38,1e divisie
66,72,Niek Visser,Triathlon Soest,03:05,01:12,07:46,42.8,06:54,19:37,06:28,49.1,08:18,47.8,03:10,19:31,09:24,44.8,03:15,01:30,06:36,21:28,01:20:40,1e divisie
67,57,Mark Verhaegen,TV Weert,03:22,52.4,07:44,55.1,06:54,19:46,06:43,55.6,07:57,49.3,03:26,19:50,08:58,53.7,03:36,01:41,07:03,22:11,01:21:51,1e divisie
68,26,Roberto Lasso,Ferro Mosae - Maastricht,03:12,58.3,08:50,54.1,06:51,20:44,06:39,52.4,08:54,46.1,03:11,20:22,09:31,44.7,03:11,01:26,06:46,21:36,01:22:46,1e divisie
