Pos,StartNr,Naam,Team,1_Swim,1_T1,1_Bike,1_T2,1_Run,Mix1,2_Run,2_T1,2_Bike,2_T2,2_Swim,Mix2,3_Bike,3_T1,3_Swim,3_T2,3_Run,Mix3,Totaal,Divisie
28,68,Marco Muller,Fitness Occasions / Step One - Borne,02:52,50,06:55,51.3,05:48,17:15,05:32,45.7,07:11,36.9,02:49,16:54,07:52,36.8,02:55,01:13,05:37,18:13,01:12:33,ere divisie
29,51,Davy Heijsteeg,ZSC Oceanus - Aalsmeer,02:34,44,07:06,41.4,05:56,17:00,05:49,49.2,07:17,40.3,02:37,17:12,07:57,37.1,02:42,01:14,06:01,18:30,01:12:43,ere divisie
30,69,Mark Muller,Fitness Occasions / Step One - Borne,02:51,47.5,07:00,46.2,05:47,17:10,05:38,49.4,07:14,37,02:49,17:05,07:53,37.5,02:55,01:15,05:44,18:24,01:12:44,ere divisie
31,41,Florian Plambeck,Rosiir - Tjellens / TTvW Hof van Twente - Goor,02:50,01:04,07:00,48.3,05:54,17:34,05:32,51.3,07:24,39.6,02:39,17:06,07:48,43.6,02:40,01:12,05:35,17:57,01:12:53,ere divisie
32,55,Boy van West,ZSC Oceanus - Aalsmeer,02:34,46.6,07:03,42.2,05:57,17:01,05:47,46.7,07:19,40.1,02:39,17:10,07:57,35.6,02:42,01:11,06:16,18:40,01:12:55,ere divisie
33,47,Simon den Braber,Hellas - Utrecht,02:49,54,06:54,51,05:46,17:13,05:46,46,07:13,38.2,02:46,17:08,08:08,38.3,02:47,01:17,05:54,18:42,01:13:16,ere divisie
34,2,Finn Timmermans,Squadra - Eindhoven,02:37,01:00,07:00,46.5,06:06,17:29,05:45,50.1,07:25,34.8,02:45,17:19,07:45,33.7,02:48,01:17,05:59,18:22,01:13:17,ere divisie
35,38,Ynze Keulstra,Kijani - Beesd,02:48,52.3,06:52,46.2,05:58,17:15,05:53,45.5,07:14,44.8,02:47,17:24,07:49,42.4,02:46,01:17,05:52,18:25,01:13:18,ere divisie
36,34,Pim Lebouille,TTW - Weesp,02:45,52.4,06:56,41.7,06:14,17:28,05:47,46.6,07:27,38.3,02:44,17:22,07:41,38.2,02:48,01:15,06:14,18:36,01:13:34,ere divisie
37,46,Rik Linssen,Hellas - Utrecht,02:41,48.1,06:56,41.7,06:06,17:12,06:06,48.2,07:25,37,02:32,17:26,07:58,39.4,02:45,01:19,06:14,18:54,01:13:39,ere divisie
38,12,Frank Heestermans,VISMA / TriCan - Arnhem,02:45,56.1,06:59,55.1,05:35,17:09,05:39,51.6,07:12,40.6,02:39,17:02,08:28,47.3,02:59,01:23,05:55,19:31,01:13:48,ere divisie
39,54,Ian Pennekamp,ZSC Oceanus - Aalsmeer,02:55,50,06:52,46.4,05:50,17:12,05:55,45,08:00,41.8,02:50,18:10,08:22,37.3,02:43,01:09,05:41,18:32,01:13:58,ere divisie
40,52,Sander Berk,ZSC Oceanus - Aalsmeer,02:44,01:08,06:52,40.5,05:52,17:15,05:55,45.8,07:26,40.1,02:40,17:26,08:20,37.5,02:47,01:19,06:00,19:03,01:13:59,ere divisie
41,25,Robert de Korte,EDO Sports - Maastricht,02:57,52.4,06:53,47.5,05:46,17:14,05:41,48.1,07:12,40.7,02:58,17:19,07:55,43.6,03:07,01:19,06:12,19:16,01:14:03,ere divisie
42,30,Morten Schmidt,TC Twente - Enschede,02:30,44.8,07:10,46.1,06:17,17:26,06:08,50.9,07:25,40.3,02:33,17:37,08:08,38.1,02:44,01:22,06:02,18:53,01:14:03,ere divisie
43,63,Ruben Slot,Cerberus - Nijmegen,02:50,55.4,06:51,47.9,05:50,17:14,05:52,50.2,07:26,40.7,02:40,17:28,08:20,42,02:46,01:24,06:05,19:15,01:14:13,ere divisie
44,48,Sjoerd Veltman,Hellas - Utrecht,02:47,58.1,07:07,51.2,06:08,17:50,05:57,45.9,07:17,37.9,02:39,17:16,08:08,40.1,02:47,01:21,06:14,19:08,01:14:20,ere divisie
45,45,Oliver Brammen,Rosiir - Tjellens / TTvW Hof van Twente - Goor,02:57,49.9,07:05,01:01,05:50,17:42,05:49,50.1,07:27,44.7,02:56,17:46,08:09,37.5,03:02,01:19,05:37,18:43,01:14:22,ere divisie
46,62,Roel Kwaaitaal,Cerberus - Nijmegen,02:48,54.8,07:09,56.2,05:40,17:27,05:43,55.9,07:28,45.6,02:45,17:37,08:41,46,02:55,01:17,05:44,19:21,01:14:31,ere divisie
47,67,André Aanstoot,Fitness Occasions / Step One - Borne,02:53,52.1,07:09,40.8,05:58,17:31,05:54,46.9,07:30,42.6,02:40,17:32,08:32,36.6,02:44,01:21,06:03,19:15,01:14:32,ere divisie
48,31,Tristan Olij,TTW - Weesp,02:46,01:01,07:02,47,06:00,17:34,05:55,52.6,07:17,41.2,02:38,17:23,08:31,43.7,02:45,01:19,06:02,19:21,01:14:34,ere divisie
49,18,Daan Gehlen,Rogelli / TriMates - Utrecht,02:46,59.4,07:03,50.1,05:49,17:27,06:14,51.1,07:16,43.3,02:43,17:47,08:28,40.8,02:45,01:16,06:24,19:32,01:14:53,ere divisie
50,43,Martijn Paalman,Rosiir - Tjellens / TTvW Hof van Twente - Goor,02:59,51.5,06:54,50,05:52,17:26,05:52,54.3,07:36,43.9,02:46,17:51,08:24,50.2,02:52,01:20,06:07,19:32,01:14:56,ere divisie
51,42,Rudi Jansen,Rosiir - Tjellens / TTvW Hof van Twente - Goor,02:56,54.1,06:58,45.5,06:09,17:41,05:59,50.4,07:17,44.5,02:54,17:44,08:15,45.2,03:00,01:25,06:03,19:26,01:14:59,ere divisie
52,70,Jessie Muller,Fitness Occasions / Step One - Borne,02:49,53,06:55,45.1,05:58,17:19,05:53,51.8,07:38,42.5,02:57,18:02,08:14,38.3,03:05,01:20,06:13,19:29,01:15:03,ere divisie
